item_id,int_rate_fix,int_rate_var,freq,child_of,requirements,amount,capacity,hold_req,hold_amount,usage_req,use_amount,fulfill,satisfies,satisfy_rate,productivity,efficiency,lifespan,metric,dmg_types,dmg,res_types,res,byproduct,byproduct_amt,start_price,producer
Plow,None,None,start,Equipment,"Metal Working, Blacksmith Shop, Blacksmither, Rock, Wood","1, 1, 1, 10, 20",12,None,None,None,None,None,None,None,Cultivator,0.5,"10,010,000","usage, ticks",None,None,None,100,None,None,None,Blacksmith
Basket,None,None,start,Equipment,Weaving,20,12,None,None,None,None,None,None,None,Forage,0.5,"502,000","usage, ticks",None,None,None,100,None,None,None,Individual
Wood,None,None,None,Commodity,"Forest, Lumberjack","1, 0.1",None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,10,Wood Chips,10,None,Lumbermill
Rock,None,None,None,Commodity,"Rocky Land, Miner","1, 0.1",None,None,None,None,None,None,None,None,None,None,None,None,None,10,None,10,None,None,None,"Quarry, Mine"
#Ore,None,None,None,Commodity,Mountain,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,20,None,None,None,Mine
#Metal,None,None,None,Commodity,"Forge, Ore","1, 2",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,100,None,None,None,Smelter
#Forge,None,None,continuous,Equipment,"Rock, Wood","30, 5",None,None,None,None,None,None,None,None,Kiln,0.25,100,ticks,None,None,None,400,None,None,None,Blacksmith
Paper,None,None,None,Commodity,Wood,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,Lumbermill
Water Well,None,None,continuous,Equipment,"Land, Rock, Wood","10, 100, 20",1000,Land,10,None,None,None,None,None,None,None,182,ticks,None,None,None,100,None,None,None,Well
Water,None,None,None,Subscription,"Land, Water Well","1, 1",None,None,None,None,None,None,Thirst,100,None,None,None,None,None,None,None,None,None,None,None,Well
Toy,None,None,continuous,Equipment,Wood,10,None,None,None,None,None,None,Fun,10,None,None,"100, 200","usage, ticks",None,None,None,20,None,None,None,Carpenter
#Barber,None,None,None,Labour,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
#Haircut,None,None,None,Service,Barber,1,None,None,None,None,None,None,Hygiene,100,None,None,None,None,None,None,None,None,None,None,None,Barber Shop
Harvest,None,None,None,Service,Harvesting,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Harvest Guild
Manager,None,None,None,Job,Reading,1,2000,None,None,Paper,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Sprinkler,None,None,continuous,Equipment,Rock,5,1,None,None,None,None,None,None,None,None,None,50,usage,None,None,None,50,None,None,None,Blacksmith
University,None,None,None,Non-Profit,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Hospital,None,None,None,Non-Profit,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Reading,None,None,None,Education,"Study, Paper","16, 1",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Individual
Metal Working,None,None,None,Technology,Time,365,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Blacksmith
Blacksmith Shop,None,None,continuous,Buildings,"Time, Land, Wood, Rock","2, 100, 100, 60",1,Land,100,None,None,None,None,None,None,None,1000,ticks,None,None,None,1000,None,None,None,Construction Company
Blacksmither,None,None,None,Labour,Strength,1,2000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Strength,None,None,None,Education,"Time, Rock","2, 1",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Individual
Wire,None,None,None,Commodity,"Metal Working, Rock","1, 1",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,Blacksmith
Electricity,None,None,None,Technology,"Time, Metal Working","365, 1",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Blacksmith
Robot Plow,None,None,start,Equipment,"Electricity, Blacksmith Shop, Blacksmither, Rock, Wood","1, 1, 12, 20, 40",12,None,None,None,None,None,None,None,Cultivator,1,20,usage,None,None,None,10000,None,None,None,Blacksmith
Super Food,None,None,None,Commodity,"Time, Super Tech, Arable Land, Cultivator, Water","7, 1, 400, 0.1, 1",None,None,None,None,None,None,Hunger,10,None,None,21,spoilage,None,None,None,1,None,None,None,Farm
Super Tech,None,None,None,Technology,"Time, Electricity","365, 1",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Well
Wood Chips,None,None,None,Commodity,Wood,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,Lumbermill
Anvil,None,None,continuous,Equipment,"Time, Land, Forest, Rock","2, 1, 1, 50",1,"Land, Rocky Land","2, 1",None,None,None,None,None,None,None,"500, 10000","usage, ticks",None,None,None,1000,None,None,None,Blacksmith
#Hydroponics,None,None,continuous,Equipment,"Wood, Rock, Wire","100, 40, 20",200,None,None,None,None,None,None,None,"Growing, Arable land","0.25, 0.75",100,ticks,None,None,None,100,None,None,None,Blacksmith
Hydroponics,None,None,continuous,Equipment,"Engineer, Wood, Rock","6, 100, 40",200,Land,10,None,None,None,None,None,"Growing, Arable land","0.50, 0.75",100,ticks,None,None,None,100,None,None,None,Blacksmith
Math,None,None,None,Education,Study,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Individual
Sword,None,None,continuous,Equipment,Rock,10,1,None,None,None,None,None,None,None,None,None,"100, 1000","usage, equipped",None,100,None,10,None,None,None,Blacksmith
Armour,None,None,continuous,Equipment,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
#Leather Armour,None,None,continuous,Armour,Leather,1,1,None,None,None,None,None,None,None,None,None,100,equipped,None,None,None,50,None,None,None,Blacksmith
Metal Armour,None,None,continuous,Armour,Rock,10,1,None,None,None,None,None,None,None,None,None,100,equipped,None,None,None,100,None,None,None,Blacksmith
#Engineer,None,None,None,Labour,"Electronics Class, Blacksmither","16, 1",1000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Engineer,None,None,None,Labour,Electronics Class,16,1000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
University Campus,None,None,continuous,Buildings,"University, Land, Wood, Rock","100, 100, 100",10,Land,100,None,None,None,None,None,None,None,1000,ticks,None,None,None,1000,None,None,None,University
Electronics Class,None,None,None,Education,Study,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,University
#Electronics Class,None,None,None,Education,"Study, University Campus","1, 1",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,University
Shares,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Loan,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Init Capital,0,0,365,Loan,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Bank
Credit Line 5,0.05,0,365,Loan,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Bank
Robot Lumberjack,None,None,start,Equipment,"Electricity, Super Tech, Blacksmith Shop, Blacksmither, Wire, Rock, Wood","1, 1, 1, 12, 100, 200, 400",12,None,None,None,None,None,None,None,Lumberjack,1,200,usage,None,None,None,10000,None,None,None,Blacksmith
Robot Miner,None,None,start,Equipment,"Electricity, Super Tech, Blacksmith Shop, Blacksmither, Wire, Rock, Wood","1, 1, 1, 12, 100, 200, 400",12,None,None,None,None,None,None,None,Miner,1,200,usage,None,None,None,10000,None,None,None,Blacksmith
Robot Rancher,None,None,start,Equipment,"Electricity, Super Tech, Blacksmith Shop, Blacksmither, Wire, Rock, Wood","1, 1, 1, 12, 100, 200, 400",12,None,None,None,None,None,None,None,Rancher,1,200,usage,None,None,None,10000,None,None,None,Blacksmith
3D Printer,None,None,start,Equipment,"Electricity, Super Tech, Blacksmith Shop, Blacksmither, Wire, Rock, Wood","1, 1, 1, 12, 100, 200, 400",12,None,None,None,None,None,None,None,Carpenter,1,200,usage,None,None,None,10000,None,None,None,Blacksmith
Robot Blacksmither,None,None,start,Equipment,"Electricity, Super Tech, Blacksmith Shop, Blacksmither, Wire, Rock, Wood","1, 1, 1, 12, 100, 400, 800",12,None,None,None,None,None,None,None,Blacksmither,1,1000,usage,None,None,None,10000,None,None,None,Blacksmith
#House,None,None,continuous,Buildings,"Time, Land, Wood, Rock","3, 100, 200, 100",5,Land,100,None,None,None,Shelter,100,None,None,10000,ticks,None,None,None,1000,None,None,None,Construction Company
Fresh Water,None,None,None,Commodity,"Land, Labour","1, 2",None,None,None,None,None,None,Thirst,1,None,None,None,None,None,None,None,None,None,None,None,Individual
Rancher,None,None,None,Labour,Strength,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
#Cow,"Land, Rancher","100, 40",animal,Equipment,"Land, Cow, Rancher","10, 2, 1",10,Land,10,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ranch
#Milk,None,None,None,Commodity,"Cow, Rancher","1, 1",None,None,None,None,None,None,"Thirst, Hunger","2, 3",None,None,None,None,None,None,None,None,None,None,None,Ranch
Gestation,None,None,None,Time,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
#Beef Cow,"Land, Rancher","100, 1",animal,Commodity,"Gestation, Land, Beef Cow, Rancher","1, 10, 2, 1",None,Land,10,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ranch
#Beef,None,None,None,Commodity,"Beef Cow, Rancher","0.1, 1",None,None,None,None,None,None,Hunger,10,None,None,None,None,None,None,None,None,Leather,10,None,Ranch
#Leather,None,None,None,Commodity,"Beef Cow, Rancher","0.1, 1",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,100,Beef,1,None,Ranch
Final Tech,None,None,repeatable,Technology,"Time, Super Tech","365, 1",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Individual
#,,,,,,,,,,,,,,,,,,,,,,,,,,
Factory,None,None,continuous,Buildings,"Land, Wood, Rock","100, 10, 6",100,Land,100,None,None,None,None,None,None,None,1000,ticks,None,None,None,1000,None,None,None,Construction Company
Replicator,None,None,continuous,Equipment,"Factory, Wood, Rock","1, 10, 4",20,Factory,1,None,None,None,None,None,None,None,100,ticks,None,None,None,100,None,None,None,Blacksmith
Widget,None,None,continuous,Components,"Replicator, Rock","1, 1",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,10,None,None,None,Blacksmith
#,,,,,,,,,,,,,,,,,,,,,,,,,,
#Factory2,None,None,continuous,Buildings,"Land, Rock, Wood","1, 1, 1",1,Land,1,None,None,None,None,None,None,None,1000,ticks,None,None,None,1000,None,None,None,Construction Company
#Replicator2,None,None,continuous,Equipment,"Factory2, Wood, Rock","10, 10, 4",20,Factory2,10,None,None,None,None,None,None,None,100,ticks,None,None,None,100,None,None,None,Blacksmith
#Widget2,None,None,continuous,Components,"Replicator2, Rock","1, 1",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,10,None,None,None,Blacksmith
