txn_id,event_id,entity_id,date,description,item_id,price,qty,debit_acct,credit_acct,amount
21,21,1,2015-06-07,LAWTONS DRUGS 114 HALIFAX NS,,22.41,1,Other Leisure,Visa,22.41
22,22,1,2015-06-07,SHOPPERSDRUGMART0147 HALIFAX NS,,102.35,1,Other Leisure,Visa,102.35
23,23,1,2015-06-08,THAI EXPRESS HALIFAX NS,,9.87,1,Lunch,Visa,9.87
24,24,1,2015-06-08,WATERFRONT DEVELOPMENT COHALIFAX NS,,6,1,Parking,Visa,6
25,25,1,2015-06-09,GAHAN HOUSE HALIFAX NS,,23.69,1,Restaraunt,Visa,23.69
26,26,1,2015-06-09,SMOKES POUTINER | IDP PURCHASE - 1181,,11.84,1,Lunch,Chequing,11.84
27,27,1,2015-06-10,NSLC #2120 HALIFAX NS,,13.99,1,Liquor,Visa,13.99
28,28,1,2015-06-10,TWO IF BY THE S | IDP PURCHASE - 0024,,9.74,1,Lunch,Chequing,9.74
29,29,1,2015-06-11,TIM HORTONS 0488 QTH HALIFAX NS,,7.33,1,Lunch,Visa,7.33
30,30,1,2015-06-11,NEEDS 570 QPS HALIFAX NS,,3.38,1,Snacks,Visa,3.38
31,31,1,2015-06-11,YOUR FATHERS MOUSTACHE HALIFAX NS,,32.99,1,Restaraunt,Visa,32.99
32,32,1,2015-06-12,CHEERS BAR GRILL HALIFAX NS,,7.76,1,Bar,Visa,7.76
33,33,1,2015-06-12,MCDONALD'S #404 | IDP PURCHASE - 3194,,7.36,1,Fast Food,Chequing,7.36
34,34,1,2015-06-12,TIM HORTONS #04 | IDP PURCHASE - 4515,,7.68,1,Lunch,Chequing,7.68
35,35,1,2015-06-12,MCDONALD'S #537 | IDP PURCHASE - 6565,,12.17,1,Fast Food,Chequing,12.17
36,36,1,2015-06-12,Withdrawal | PTB WD --- 10548238,,63.5,1,Bar,Chequing,63.5
37,37,1,2015-06-12,INTERAC-SC-8238,,1.5,1,Bar,Chequing,1.5
38,38,1,2015-06-14,NETFLIX.COM 866-716-0414 ON,,7.99,1,Netflix,Visa,7.99
39,39,1,2015-06-15,THAI EXPRESS HALIFAX NS,,9.87,1,Lunch,Visa,9.87
40,40,1,2015-06-15,A TASTE OF INDIA HALIFAX NS,,10.99,1,Restaraunt,Visa,10.99
41,41,1,2015-06-15,ALEXANDRA'S PIZZA (QUEEN HALIFAX NS,,10.65,1,Delivery,Visa,10.65
42,42,1,2015-06-15,GIGANTIC VIDEO | IDP PURCHASE - 3877,,9.03,1,Snacks,Chequing,9.03
43,43,1,2015-06-15,TIM HORTONS #04 | IDP PURCHASE - 9114,,9.69,1,Lunch,Chequing,9.69
44,44,1,2015-06-15,PAYROLL DEPOSIT | [This is a fake amount],,1804.09,1,Chequing,Salary,1804.09
45,45,1,2015-06-15,Payment | WWW PAYMENT - 6503 EASTLINK,,106.89,1,Internet,Chequing,106.89
46,46,1,2015-06-16,ULTRAMAR # 23012 HALIFAX NS,,40.7,1,Fuel,Visa,40.7
47,47,1,2015-06-16,SUBWAY 11244 HALIFAX NS,,8.9,1,Lunch,Visa,8.9
48,48,1,2015-06-16,SCHEDULED PAYMENT | ONLINE TRANSFER,,100,1,Savings Expense,Chequing,100
49,49,1,2015-06-16,INSURANCE | TD Insurance,,14.83,1,Tenants Insurance,Chequing,14.83
50,50,1,2015-06-16,INSURANCE | TD Insurance,,65.16,1,Car Insurance,Chequing,65.16
51,51,1,2015-06-16,LOAN INTEREST,,22.96,1,Education Interest,Chequing,22.96
52,52,1,2015-06-16,BONUS DEP INT,,0.88,1,Savings,Interest,0.88
53,53,1,2015-06-17,THE BATTERED FISH HALIFAX NS,,9.2,1,Lunch,Visa,9.2
54,54,1,2015-06-17,PERSONAL LOAN | SPL,,326.6,1,Car Payment,Chequing,326.6
55,55,1,2015-06-18,LAWTONS DRUGS 114 HALIFAX NS,,18.59,1,Food,Visa,18.59
56,56,1,2015-06-18,TWO IF BY THE SEA CAFE HALIFAX NS,,6.73,1,Lunch,Visa,6.73
57,57,1,2015-06-18,APL* ITUNES.COM/BILL 800-676-2775 ON,,0.99,1,iCloud,Visa,0.99
58,58,1,2015-06-18,MCDONALD'S #29712 HALIFAX NS,,9.98,1,Lunch,Visa,9.98
59,59,1,2015-06-18,WWW TFR MIN0-06286,,1466.25,1,Transfer,Student Credit,1466.25
60,60,1,2015-06-18,Transfer | WWW TRANSFER - 6286,,1466.25,1,Chequing,Transfer,1466.25
61,61,1,2015-06-18,Payment | WWW PAYMENT - 6329 CPA ATLANTIC (Taxation),,1466.25,1,Uncategorized,Chequing,1466.25
62,62,1,2015-06-19,SQ *SAINT LOU'S GENTLEMENHALIFAX NS,,38,1,Haircut,Visa,38
63,63,1,2015-06-19,THAI EXPRESS HALIFAX NS,,10.56,1,Lunch,Visa,10.56
64,64,1,2015-06-19,Payment | WWW PAYMENT - 6261 TELUS MOBILIT,,194.57,1,Cellphone,Chequing,194.57
65,65,1,2015-06-20,MCDONALD'S #20670 DARTMOUTH NS,,8.95,1,Fast Food,Visa,8.95
66,66,1,2015-06-21,CIRCLE K / IRVING #2048 AMHERST NS,,27.77,1,Fuel,Visa,27.77
67,67,1,2015-06-22,SMOKES POUTINERIE HALI HALIFAX NS,,10.5,1,Lunch,Visa,10.5
68,68,1,2015-06-22,SHOPPERSDRUGMART0147 HALIFAX NS,,13.77,1,Other Leisure,Visa,13.77
69,69,1,2015-06-22,Transfer | WWW TRANSFER - 5189,,300,1,Transfer,Chequing,300
70,70,1,2015-06-22,PAYMENT - THANK YOU / PAIEMENT - MERCI,,300,1,Visa,Transfer,300
71,71,1,2015-06-23,SYKEA INC HALIFAX NS | (Waxing),,86.27,1,Haircut,Visa,86.27
72,72,1,2015-06-23,THAI EXPRESS HALIFAX NS,,9.87,1,Lunch,Visa,9.87
73,73,1,2015-06-24,LAWTON DRUGS 144 HALIFAX NS,,6.51,1,Other Leisure,Visa,6.51
74,74,1,2015-06-24,MAMA GRATTI'S DELI & MARKHALIFAX NS,,5.18,1,Lunch,Visa,5.18
75,75,1,2015-06-24,GIGANTIC VIDEO I 95 LTD HALIFAX NS,,4.84,1,Snacks,Visa,4.84
76,76,1,2015-06-25,BAR STILLWELL HALIFAX NS,,15.9,1,Bar,Visa,15.9
77,77,1,2015-06-25,THE BODY SHOP CANADA #147HALIFAX NS,,14.38,1,Food,Visa,14.38
78,78,1,2015-06-26,ALEXANDRA'S PIZZA (QUEEN HALIFAX NS,,9.65,1,Delivery,Visa,9.65
79,79,1,2015-06-26,SOBEYS 574 QPS HALIFAX NS,,14.01,1,Food,Visa,14.01
80,80,1,2015-06-27,WATERFRONT DEVELOPMENT COHALIFAX NS,,3,1,Parking,Visa,3
81,81,1,2015-06-29,TIM HORTONS 0488 QTH HALIFAX NS,,6.88,1,Lunch,Visa,6.88
82,82,1,2015-06-29,MCDONALD'S #5372 Q04 HALIFAX NS,,10.57,1,Lunch,Visa,10.57
83,83,1,2015-06-29,Withdrawal | PTB WD --- HA799044,,40,1,Other Leisure,Chequing,40
84,84,1,2015-06-16,INTEREST PAYMENT | 19.27,,0,1,Student Credit,Info,0
85,85,1,2015-06-16,LOANPROTECTOR INSURANCE PREMIUM | 3.69,,0,1,Student Credit,Info,0
86,86,1,2015-06-30,LAWTONS DRUGS 114 HALIFAX NS,,34.49,1,Activities,Visa,34.49
87,87,1,2015-06-30,BURRITO JAX HALIFAX NS,,22.46,1,Lunch,Visa,22.46
88,88,1,2015-06-30,PAYMENT - THANK YOU / PAIEMENT - MERCI,,500,1,Visa,Transfer,500
89,89,1,2015-06-30,PAYMENT - THANK YOU / PAIEMENT - MERCI,,440,1,Visa,Transfer,440
90,90,1,2015-06-30,ESSO 6020 YOUNG STREET ESHALIFAX NS,,36.61,1,Fuel,Visa,36.61
91,91,1,2015-06-30,ESSO 6020 YOUNG STREET ESHALIFAX NS,,13.21,1,Other Leisure,Visa,13.21
92,92,1,2015-06-30,PAYROLL DEPOSIT | [This is a fake amount],,1804.09,1,Chequing,Salary,1804.09
93,93,1,2015-06-30,LOAN INTEREST,,7.37,1,Leisure Interest,Chequing,7.37
94,94,1,2015-06-30,INTEREST PAYMENT | 7.37,,0,1,Credit Line,Info,0
95,95,1,2015-07-01,SOBEYS 574 QPS HALIFAX NS,,160.17,1,Food,Visa,160.17
96,96,1,2015-07-01,DREAMHOST DH-FEE.COM 877-8294070 CA,,18.07,1,Website Hosting,Visa,18.07
97,97,1,2015-07-02,LAWTON DRUGS 144 HALIFAX NS,,20,1,Bus,Visa,20
98,98,1,2015-07-02,THAI EXPRESS HALIFAX NS,,10.52,1,Lunch,Visa,10.52
99,99,1,2015-07-02,WWW TFR MIN0-01866 | LoC,,440,1,Transfer,Credit Line,440
100,100,1,2015-07-02,Transfer | WWW TRANSFER - 1866,,440,1,Chequing,Transfer,440
101,101,1,2015-07-02,Payment | WWW PAYMENT - 4404 N.S. POWER IN,,67.78,1,Power,Chequing,67.78
102,102,1,2015-07-02,Transfer | WWW TRANSFER - 7720,,440,1,Transfer,Chequing,440
103,103,1,2015-07-02,Transfer | WWW TRANSFER - 7355,,500,1,Transfer,Chequing,500
104,104,1,2015-07-02,DEPOSIT INTEREST,,1.35,1,Savings,Interest,1.35
105,105,1,2015-07-03,BIG PONY HALIFAX NS,,17.25,1,Other Leisure,Visa,17.25
106,106,1,2015-07-03,DEEDEE'S ICE CR | IDP PURCHASE - 9931,,10.24,1,Snacks,Chequing,10.24
107,107,1,2015-07-03,GST | CANADA,,51.13,1,Chequing,HST Rebate,51.13
108,108,1,2015-07-03,CHEQUE - # 052,,875,1,Rent,Chequing,875
109,109,1,2015-07-04,CASINO TAXI 1 HALIFAX NS,,7.41,1,Bar,Visa,7.41
110,110,1,2015-07-05,THE ROPE LOFT DINING ROOMCHESTER NS,,19.77,1,Restaraunt,Visa,19.77
111,111,1,2015-07-05,ATLANTIC PLAYLAND HAMMONDS PLAINS,,24.73,1,Activities,Visa,24.73
112,112,1,2015-07-06,SMOKES POUTINERIE HALI HALIFAX NS,,10.5,1,Lunch,Visa,10.5
113,113,1,2015-07-07,APL* ITUNES.COM/BILL 800-676-2775 ON,,50,1,Marian,Visa,50
114,114,1,2015-07-07,SUBWAY 11244 HALIFAX NS,,8.92,1,Lunch,Visa,8.92
115,115,1,2015-07-08,THE BATTERED FISH HALIFAX NS,,9.2,1,Lunch,Visa,9.2
116,116,1,2015-07-09,MCDONALD'S #29712 HALIFAX NS,,6.08,1,Lunch,Visa,6.08
117,117,1,2015-07-10,AMAZON *MARKETPLCE CA WWW.AMAZON.CAON,,29.99,1,Electronics,Visa,29.99
118,118,1,2015-07-10,CASINO TAXI 1 HALIFAX NS,,8.5,1,Bar,Visa,8.5
119,119,1,2015-07-10,SICILIAN PIZZA HALIFAX NS,,2.9,1,Fast Food,Visa,2.9
120,120,1,2015-07-10,OBLADEE A WINE BAR HALIFAX NS,,40.98,1,Bar,Visa,40.98
121,121,1,2015-07-12,MCDONALD'S #29116 Q04 HALIFAX NS,,14.81,1,Lunch,Visa,14.81
122,122,1,2015-07-12,MCDONALD'S #20670 DARTMOUTH NS,,13.08,1,Fast Food,Visa,13.08
123,123,1,2015-07-13,WAL-MART SUPERCENTER#3138HALIFAX NS,,45.97,1,Housewears,Visa,45.97
124,124,1,2015-07-13,SMOKES POUTINERIE HALI HALIFAX NS,,11.49,1,Lunch,Visa,11.49
125,125,1,2015-07-13,JACK ASTOR'S BAYERS LAKE HALIFAX NS,,27.23,1,Restaraunt,Visa,27.23
126,126,1,2015-07-13,Withdrawal | PTB WD --- HG228162,,60,1,Other Leisure,Chequing,60
127,127,1,2015-07-13,Payment | WWW PAYMENT - 8227 EASTLINK,,106.89,1,Internet,Chequing,106.89
128,128,1,2015-07-14,CINEPLEX 5130 HALIFAX NS,,29.98,1,Activities,Visa,29.98
129,129,1,2015-07-14,NETFLIX.COM 866-716-0414 ON,,7.99,1,Netflix,Visa,7.99
130,130,1,2015-07-14,CIRCLE K / IRVING #2057 HALIFAX NS,,37.13,1,Fuel,Visa,37.13
131,131,1,2015-07-15,PAYROLL DEPOSIT | [This is a fake amount],,1804.09,1,Chequing,Salary,1804.09
132,132,1,2015-07-16,THAI EXPRESS HALIFAX NS,,10.56,1,Lunch,Visa,10.56
133,133,1,2015-07-16,Transfer | WWW TRANSFER - 4966,,452.87,1,Transfer,Chequing,452.87
134,134,1,2015-07-16,PAYMENT - THANK YOU / PAIEMENT - MERCI,,452.87,1,Visa,Transfer,452.87
135,135,1,2015-07-16,SCHEDULED PAYMENT | ONLINE TRANSFER,,100,1,Savings Expense,Chequing,100
136,136,1,2015-07-16,INSURANCE | TD Insurance,,14.83,1,Tenants Insurance,Chequing,14.83
137,137,1,2015-07-16,INSURANCE | TD Insurance,,65.16,1,Car Insurance,Chequing,65.16
138,138,1,2015-07-16,LOAN INTEREST,,29.09,1,Education Interest,Chequing,29.09
139,139,1,2015-07-17,CIRCLE K / IRVING #2047 AULAC NB,,21.44,1,Travel Fuel,Visa,21.44
140,140,1,2015-07-17,MCDONALD'S #29712 HALIFAX NS,,5.91,1,Travel Eating,Visa,5.91
141,141,1,2015-07-17,AULAC BIG STOP RESTAURANTAULAC NB,,32.76,1,Travel Eating,Visa,32.76
142,142,1,2015-07-17,PERSONAL LOAN | SPL,,326.6,1,Car Payment,Chequing,326.6
143,143,1,2015-07-18,BRASSERIE DIEU DU CIEL MONTREAL QC,,15,1,Travel Eating,Visa,15
144,144,1,2015-07-18,APL* ITUNES.COM/BILL 800-676-2775 ON,,1.14,1,iCloud,Visa,1.14
145,145,1,2015-07-18,CIRCLE K / IRVING #QPS 20WOODSTOCK NB,,25.02,1,Travel Fuel,Visa,25.02
146,146,1,2015-07-18,PETROCAN-191 CHEM FRASERVRIVIERE DU LPQC,,32.55,1,Travel Fuel,Visa,32.55
147,147,1,2015-07-18,LAB COMPTOIR A COCKTAI MONTREAL QC,,27.6,1,Travel Eating,Visa,27.6
148,148,1,2015-07-20,TIM HORTONS 3959 QTH ST JEAN PORT QC,,8.06,1,Travel Eating,Visa,8.06
149,149,1,2015-07-20,ULTRAMAR #11123 RIVIERE VERTENB,,34.98,1,Travel Fuel,Visa,34.98
150,150,1,2015-07-20,JACK ASTOR'S DARTMOUTH DARTMOUTH NS,,30.98,1,Travel Eating,Visa,30.98
151,151,1,2015-07-20,CIRCLE K / IRVING #2048 AMHERST NS,,38.47,1,Travel Fuel,Visa,38.47
152,152,1,2015-07-20,SHELL 141 BOUL SAINT-JOSEDRUMMONDVILLEQC,,38.33,1,Travel Fuel,Visa,38.33
153,153,1,2015-07-20,REST LA BANQUIS | IDP PURCHASE - 1870,,18.97,1,Travel Eating,Chequing,18.97
154,154,1,2015-07-20,Withdrawal | PTB WD --- ME335224,,60,1,Travel,Chequing,60
155,155,1,2015-07-21,WWW.STEAMPOWERED.COM LUXEMBOURG,,6.49,1,Games,Visa,6.49
156,156,1,2015-07-21,GIGANTIC VIDEO I 95 LTD HALIFAX NS,,4.83,1,Snacks,Visa,4.83
157,157,1,2015-07-21,Payment | WWW PAYMENT - 7614 TELUS MOBILIT,,121.24,1,Cellphone,Chequing,121.24
158,158,1,2015-07-22,MANHATTAN PIZZA HALIFAX NS,,18.5,1,Delivery,Visa,18.5
159,159,1,2015-07-23,CIRCLE K / IRVING #2048 AMHERST NS,,38.18,1,Fuel,Visa,38.18
160,160,1,2015-07-24,DAYLE'S DEPARTMENT STO AMHERST NS,,50,1,Clothing,Visa,50
161,161,1,2015-07-24,BAMBINO'S PIZZERIA & FINEAMHERST NS,,18.6,1,Delivery,Visa,18.6
162,162,1,2015-07-26,CORA HALIFAX HALIFAX NS,,23.95,1,Restaraunt,Visa,23.95
163,163,1,2015-07-26,LAWTONS DRUGS 114 HALIFAX NS,,12.64,1,Other Leisure,Visa,12.64
164,164,1,2015-07-26,COBEQUID PASS TOLL HIGHWAGREAT VILLAGENS,,20,1,Tolls,Visa,20
165,165,1,2015-07-26,MCDONALD'S #29712 HALIFAX NS,,2.52,1,Fast Food,Visa,2.52
166,166,1,2015-07-27,THAI EXPRESS HALIFAX NS,,10.56,1,Lunch,Visa,10.56
167,167,1,2015-07-27,BAR STILLWELL HALIFAX NS,,47.5,1,Bar,Visa,47.5
168,168,1,2015-07-27,MCDONALD'S #29712 HALIFAX NS,,9.35,1,Fast Food,Visa,9.35
169,169,1,2015-07-28,SOBEYS 574 QPS HALIFAX NS,,57.81,1,Food,Visa,57.81
170,170,1,2015-07-28,SUSHI SHIGE JAPANES HALIFAX NS,,14.42,1,Restaraunt,Visa,14.42
171,171,1,2015-07-28,APL* ITUNES.COM/BILL 800-676-2775 ON | (Movie rental - Avengers),,5.99,1,Activities,Visa,5.99
172,172,1,2015-07-28,MCDONALD'S #29712 HALIFAX NS,,7.16,1,Lunch,Visa,7.16
173,173,1,2015-07-29,SUBWAY #60595 HALIFAX NS,,8.9,1,Lunch,Visa,8.9
174,174,1,2015-07-30,WATERFRONT DEVELOPMENT COHALIFAX NS,,16,1,Parking,Visa,16
175,175,1,2015-07-30,PETROCAN-185 CHAIN LAKE DHALIFAX NS,,37.39,1,Fuel,Visa,37.39
176,176,1,2015-07-30,LOAN INTEREST,,9.61,1,Leisure Interest,Chequing,9.61
177,177,1,2015-07-31,Transfer | WWW TRANSFER - 2250,,766.17,1,Transfer,Chequing,766.17
178,178,1,2015-07-31,PAYMENT - THANK YOU / PAIEMENT - MERCI,,766.17,1,Visa,Transfer,766.17
179,179,1,2015-07-16,INTEREST PAYMENT | 24.42,,0,1,Student Credit,Info,0
180,180,1,2015-07-16,LOANPROTECTOR INSURANCE PREMIUM | 4.67,,0,1,Student Credit,Info,0
181,181,1,2015-07-31,WWW TFR MIN0-01458 | LoC,,360,1,Transfer,Credit Line,360
182,182,1,2015-07-31,Transfer | WWW TRANSFER - 1458,,360,1,Chequing,Transfer,360
183,183,1,2015-07-30,"AMAZON.CA AMAZON.CA ON | (Byrd and Chen Tax textbook for CPA - Reimbursed by parents Aug. 3, 2016)",,183.15,1,Transfer,Visa,183.15
184,184,1,2015-07-30,INTEREST PAYMENT | 9.61,,0,1,Credit Line,Info,0
185,185,1,2015-07-31,MAMA GRATTI'S D | IDP PURCHASE - 8168,,5.18,1,Lunch,Chequing,5.18
186,186,1,2015-07-31,PAYROLL DEPOSIT | [This is a fake amount],,1804.09,1,Chequing,Salary,1804.09
187,187,1,2015-07-31,PAYMENT - THANK YOU / PAIEMENT - MERCI,,183.15,1,Visa,Transfer,183.15
188,188,1,2015-08-01,WATERFRONT DEVELOPMENT COHALIFAX NS,,9,1,Parking,Visa,9
189,189,1,2015-08-01,JUGO JUICE DARTMOUTH DARTMOUTH NS,,5.98,1,Snacks,Visa,5.98
190,190,1,2015-08-01,GIGANTIC VIDEO I 95 LTD HALIFAX NS,,5.79,1,Snacks,Visa,5.79
191,191,1,2015-08-01,THAI EXPRESS HALIFAX NS,,24.9,1,Lunch,Visa,24.9
192,192,1,2015-08-02,SMOKES POUTINERIE QUEENS HALIFAX NS,,11.5,1,Lunch,Visa,11.5
193,193,1,2015-08-03,Withdrawal | PTB WD --- 11270593,,62.75,1,Other Leisure,Chequing,62.75
194,194,1,2015-08-03,INTERAC-SC-0593,,1.5,1,Other Leisure,Chequing,1.5
195,195,1,2015-08-03,"Transfer | WWW TRANSFER - 1731 (Reimbursement from parents for CPA tax textbook on Jul. 30, 2016)",,183.15,1,Chequing,Transfer,183.15
196,196,1,2015-08-03,Transfer | WWW TRANSFER - 9266,,183.15,1,Transfer,Chequing,183.15
197,197,1,2015-08-03,DEPOSIT INTEREST,,1.29,1,Savings,Interest,1.29
198,198,1,2015-08-03,BURRITO JAX HALIFAX NS,,9.76,1,Lunch,Visa,9.76
199,199,1,2015-08-03,AI4-SNAXX CONVENIENCE HALIFAX NS,,4.69,1,Snacks,Visa,4.69
200,200,1,2015-08-04,SQ *SAINT LOU'S GENTLEMENHalifax NS | (With top tip option of 20%),,33.6,1,Haircut,Visa,33.6
201,201,1,2015-08-04,LAWTONS DRUGS 114 HALIFAX NS,,4.69,1,Snacks,Visa,4.69
202,202,1,2015-08-04,LAWTONS DRUGS 114 HALIFAX NS,,20,1,Bus,Visa,20
203,203,1,2015-08-04,TWO IF BY THE SEA CAFE HALIFAX NS,,6.73,1,Lunch,Visa,6.73
204,204,1,2015-08-04,NSLC #2120 HALIFAX NS,,16.25,1,Liquor,Visa,16.25
205,205,1,2015-08-05,GIGANTIC VIDEO I 95 LTD HALIFAX NS,,4.84,1,Snacks,Visa,4.84
206,206,1,2015-08-05,MCDONALD'S #20670 DARTMOUTH NS,,10.34,1,Fast Food,Visa,10.34
207,207,1,2015-08-05,SMOKES POUTINERIE QUEENS HALIFAX NS,,10.5,1,Lunch,Visa,10.5
208,208,1,2015-08-06,CASH WITHDRAWAL | BR TO BR - 3413,,45,1,Laundry,Chequing,45
209,209,1,2015-08-06,CASH WITHDRAWAL | BR TO BR - 3413 ($60 cash deposited back on Aug 11),,140,1,One-Off,Chequing,140
210,210,1,2015-08-06,CASH WITHDRAWAL | BR TO BR - 3413 ($60 cash deposited back on Aug 11),,60,1,Transfer,Chequing,60
211,211,1,2015-08-06,CHEQUE - # 053,,875,1,Rent,Chequing,875
212,212,1,2015-08-06,Transfer | WWW TRANSFER - 2783,,154.87,1,Transfer,Chequing,154.87
213,213,1,2015-08-06,PAYMENT - THANK YOU / PAIEMENT - MERCI,,154.87,1,Visa,Transfer,154.87
214,214,1,2015-08-06,KARTBAHN RACING HALIFAX NS,,45,1,One-Off,Visa,45
215,215,1,2015-08-06,CASINO TAXI 1 HALIFAX NS,,20.99,1,One-Off,Visa,20.99
216,216,1,2015-08-06,NSLC #2120 HALIFAX NS,,25.98,1,One-Off,Visa,25.98
217,217,1,2015-08-06,WWW TFR MIN0-00849 | LoC,,200,1,Transfer,Credit Line,200
218,218,1,2015-08-06,Transfer | WWW TRANSFER - 0849,,200,1,Chequing,Transfer,200
219,219,1,2015-08-07,SPLIT CROW PUB HALIFAX NS,,14.15,1,One-Off,Visa,14.15
220,220,1,2015-08-07,WHITE POINT BEACH RESO WHITE POINT NS,,17.55,1,One-Off,Visa,17.55
221,221,1,2015-08-07,SHOPPERSDRUGMART0137 HALIFAX NS,,23.77,1,One-Off,Visa,23.77
222,222,1,2015-08-07,THE ROPE LOFT DINING ROOMCHESTER NS,,64.73,1,Restaraunt,Visa,64.73
223,223,1,2015-08-07,ESSO 6020 YOUNG STREET ESHALIFAX NS,,10.34,1,One-Off,Visa,10.34
224,224,1,2015-08-09,CITIZEN&amp;IMM-EAPPS ENLIGNEOTTAWA ON | (Reimbursed by Sabina on Sep 16),,255,1,Transfer,Visa,255
225,225,1,2015-08-09,WHITE POINT BEACH RESO HUNTS POINT NS,,177.5,1,One-Off,Visa,177.5
226,226,1,2015-08-10,THE GREAT WALL | IDP PURCHASE - 5476,,19.75,1,Delivery,Chequing,19.75
227,227,1,2015-08-10,SHOPPERSDRUGMART0137 HALIFAX NS,,42.54,1,Other Leisure,Visa,42.54
228,228,1,2015-08-10,JOHNNY K'S AUTHENTIC DONAHALIFAX NS,,8.04,1,Lunch,Visa,8.04
229,229,1,2015-08-11,"Deposit | PTB DEP -- HD815018 (Cash withdrawal on Aug. 6, 2016 redeposited)",,60,1,Chequing,Transfer,60
230,230,1,2015-08-11,WWW TFR MIN0-04708,,575,1,Transfer,Student Credit,575
231,231,1,2015-08-11,Transfer | WWW TRANSFER - 4708,,575,1,Chequing,Transfer,575
232,232,1,2015-08-11,Payment | WWW PAYMENT - 1748 CPA ATLANTIC (Professional fee),,575,1,Uncategorized,Chequing,575
233,233,1,2015-08-11,SUBWAY 11244 HALIFAX NS,,8.9,1,Lunch,Visa,8.9
234,234,1,2015-08-12,CHEQUE - # 057 | 564.94,,100,1,One-Off,Chequing,100
235,235,1,2015-08-12,ANNA'S CAFE &amp; GRILL HALIFAX NS,,8.22,1,Lunch,Visa,8.22
236,236,1,2015-08-12,SOBEYS 574 QPS HALIFAX NS,,34.63,1,Food,Visa,34.63
237,237,1,2015-08-13,CITY MAZDA HALIFAX NS,,68.94,1,Car Maintenance,Visa,68.94
238,238,1,2015-08-13,SOBEY'S FAST FUEL #451 BEDFORD NS,,40.07,1,Fuel,Visa,40.07
239,239,1,2015-08-13,YOUR FATHER'S MOUSTACH HALIFAX NS,,16.21,1,Restaraunt,Visa,16.21
240,240,1,2015-08-14,PAYROLL DEPOSIT | [This is a fake amount],,1804.09,1,Chequing,Salary,1804.09
241,241,1,2015-08-14,Payment | WWW PAYMENT - 2025 EASTLINK,,106.89,1,Internet,Chequing,106.89
242,242,1,2015-08-14,Transfer | WWW TRANSFER - 9986,,300,1,Transfer,Chequing,300
243,243,1,2015-08-14,PAYMENT - THANK YOU / PAIEMENT - MERCI,,300,1,Visa,Transfer,300
244,244,1,2015-08-14,NETFLIX.COM 866-716-0414 ON,,7.99,1,Netflix,Visa,7.99
245,245,1,2015-08-14,NSLC #2120 HALIFAX NS,,13.99,1,Liquor,Visa,13.99
246,246,1,2015-08-15,PIZZA DELIGHT (FRAN) HALIFAX NS,,37.65,1,Restaraunt,Visa,37.65
247,247,1,2015-08-15,SUPERSTORE HALIFAX STH HALIFAX NS,,18.96,1,Other Leisure,Visa,18.96
248,248,1,2015-08-15,SUPERSTORE HALIFAX STH HALIFAX NS,,13.79,1,Other Leisure,Visa,13.79
249,249,1,2015-08-15,SUPERSTORE HALIFAX STH HALIFAX NS,,5.03,1,Other Leisure,Visa,5.03
